tweet,target
@Xpt_PK1  uh yeppsters!!!! Couldn't do without you girlfriend!!! ,1
@williams1977:  Go Eggles?  ,0
@ddlovato heartbroken   i lost my girlfriend yesterday. we were together one years ;(,0
Funny stories on twitter making 2nd AFD easier. Thanks all   And my money's on Carlton tonight.,1
Lovely morning again in the north woop! Shame im stuck in the house of shit. not feelin too positive 2day ,0
up  eaten my breakfast now surfing the internet!,1
"so sleepy, but i still have 50 minutes of duty. ",0
"@CiaoBella50 Good morning, Bella!  #SmileSaturday",1
@ddlovato Wish i could!  All the way in Australia. ,0
Omg I'm sitting next too a really hot guy ,1
new photo   im hungry...getting off the computer now!,1
"@articulations Oh I know! Thanks, she is an amazing person ",1
ahh man red wings lost!!!  it was a good game though and plus all new disney episodes on today so hyped hahaha,0
@MlleEm I will be in Missouri. ,0
Wishes she had her fricken lisence right now !  CAN'T WAIIITTT ! &lt;3,0
"Oh it just gets worse, the bank balance is very low ",0
@kxxstarr THANK YOU ,1
back to work tomoo  day 1 of 5 it will bee.,0
@douglasabrown then your email will just fill up again - its a vicious circle ,0
Preview of the preview  on Twitpic http://twitpic.com/7ia78 (via @MuscleNerd),1
PEOPLE!!!! follow me!!! im so unpopular  i am fun i swear. God how pathetic do i sound??? lol,0
@daphotography That was some good lettuce. ,1
"Oh how I love US Airways! Late leaving Charlotte, missed connection to Santa Anna, stuck on Phoenix for another hour. ",0
"Just bought my mom's return ticket, delias.com has a sale, I want coffee &amp; need groceries. But I'm down -$100 into July's rent money. fml ",0
Yes! 3000!!!! My name for the day is YoungQ3000...I'd like to thank...all of you that believe that following me is NOT a waste of time. ,1
On my way to the mani place thing now ,1
so now i'm texting my updates.is it working? &amp;&amp;ily ,1
@irishewitt Awesome. I'm diging the 'motivational' poster on the wall ,1
@joebonsall Good Evening Joey - this pic won't work for me  Can u retweet it please? how was the show tonight? must be quiet on the bus.,0
"Finaly saw the doctor, news not good   we'll find out more next week i'll update",0
my little brother is so excited we played basketball with that thabeet guy in tanzania...&amp; jealous I served eggs with kevin mawae  i win!,1
@alishapatel i thought ur in austin ,0
You know what's better than Saturdays? PAYDAYS! ,1
@richrico21 8 daysss!!!!  can't wait baby!,1
"@immissworld No  I leave for work right when it's coming on now. I caught the first part of it this morning, but only got Sam Champion",0
"@prplepokadotcow Thanks, I need some chocolate ",1
hate feeling sick have no energy n cough up crap all day. Great way to spend a few weeks ,0
"@LizzieMacfrenzy someone put who won the apprentice on their facebook so I'm watching it knowing the winner, boo hoo ",0
boarding school...boring school-whatever...sittin' in da house &amp; watchin TV with them other guys...2morrow its time 2 say goodbye ,0
"@SamBennington Hi Sam, haven't heard from my friend yet but I can only do so much. It's up to her to get the help she needs.  ",0
sooooo not in the mood for work today ,0
And now work ,0
About to get on Zwinky.  &quot;YOU KIDS GET OFF MY LAWN!&quot; &lt;- A random quote that just got stuck in my head for some reason?,1
I GOD YOU - turboberno: I love my brothers and sisters   http://tumblr.com/x4f1wv6c6,1
is sleepy all the time. no get up and go ,0
"@BubbleGumminess Hey! Did you get a chance to pick up Coralista? If not then you NEED it! Seriously, it's gorgeous ",1
@KatieCouzins why? ,0
@YetzieLovesVFC I  KNOW ME TOOO!!!!! ,1
"@jaydems south park, will and grace, the oc right now and later scrubs. I don't have family guy dvds ",0
"@Prospectus that's good news, but my guess is all the new cpu hogging features will make it not worth me upgrading.  ",0
@KimEllis your tweets are making me jealous. i wish i was there. ,0
"Smh at my natural hair. At this current moment right now, my hair so nappy...idk wat length it is anymore.  ~$kittle$~",0
This missing Air France plane is so awful   http://www.cnn.com/2009/WORLD/americas/06/01/air.france.brazil/index.html,0
Argh... buggy Omniture ExcelClient is killing my user demos. ,0
Great night in Mens Group 2night! new members and talking Anger ,1
"Grrrrr....it's now June 17th everywhere in the world except Honolulu, but we have to wait another 15+ hours for iPhone OS3 ",0
@Jantunstill get a Sammy....who couldn't love him ,1
had a ton of fun with mariela today and scored in my game on a penalty shot ,1
I'm bummed. Radio station is giving away away Lucinda Williams tix and I'm not eligible. Rather of seen Lucinda than Ben ,0
am feeling sorry for myself - have migraine ,0
"Mr Taxman, thank u 4 the bill. I was gonna contrib 2 the econ w new car n office gears, but now the $ is in your pockt &amp; u gonna waste it ",0
2nite was amazing =] thank u guys who made it awesome =D thinking about things. Wish it wasn't like this  tomorrow is a new Day :/,0
Chococat smells like my car and pot. ,0
"England sucks. It's summer here in June once a week, then its back to its usually crappyness with weather ",0
@joshgracin  that is sooo sad...I think I may cry...wow!!! that is sooo nice of you to sing there!!,0
@nontrendy blackberries make ya pay a high data fee - i got an LG Xenon. it's effing fantastic! ,1
@bennyboytheman lol i would never ,1
im sorry i mean www.stardoll.com/member/lollylollies ,1
Better get back to work ,0
@fronztheman2009 OOPS!  Sorry Twitter... please forgive me... ,0
"@5quirt MTV! I hardly watch it. The show I utterly hate is My Sweet 16th Birthday. Spoilt, rich brats. ",1
@sarahmunir @fatinjua 22nd sept?i think that falls on hr raya puasa!!very least possibility that i could go ,0
@tofu916  Aww thanks sweetie ...hey you forgot  @ShamelessAngel look at her too ,1
mahalo for the #FF  @EcoArchitect808 @olagon @Pineapple Godess @oneson  hope you're having a great friday evening!,1
is bored and has nothing to do ,0
The yeah you's are quite strange but they're music is good ,1
@BJoie I sent u the download link for Spanish &quot;Don't Cry&quot;...let me know when u get it ,1
got an A on my 3D moddeling exam ,1
amazing @Flying_Roundhouse  what a journey to see this 40+yrs later.  thanks  â« http://blip.fm/~7q4ao,1
visiting my friends in restaurant city on FACE BOOK! ,1
i HATE waking up earlier than i have to and not being able to go back to sleep    today is goin to be an extra long day,0
@Steventartick *IF* I am on a mac... You know better than that Steve... LOL... I will give it a try... ,1
I have sunburn... ,0
It's a lunch time ,1
now to wait and see if it gets posted.. says it has to be reviewed first ,1
@manaknights Yeah ,0
"TONIGHT- Derrick Carter @blucu - Djoon, Paris - roadblock alert, will be an awesome party! if you're in or near Paris, do it do it do it ",1
its cold out todat ,0
bed rest for all weekend and next week  neomonia suck,0
Planning my Party ,1
So far it is still safe to buy tropical fish HR669 has not passed ,1
@decryption you are surviving without the mac then ,1
last training shift...hopefully ,0
i cleaned the house for my mom  (while my mom and sister were/are still asleep)...now what?,1
@Christyxcore SM fatigue and burnout. A good example ,1
Ah.  last day of school tomorow. Goodbye senior year. ,0
@loubeejones Omg !!! I'll definetly come and say hiii  I can't wait it's gonna be amazing! xxx,1
should have an interesting night ahead of her... bonfire time ,1
@camilleramos how did you guess ,1
Happy that I passed the IHK-exam! ,1
"@linuxluver I read for pure escapism. Don't make me think, take me away  non-fiction tends not to achieve that, for some strange reason",1
"st. patrick, please come back to colorado ",1
http://bit.ly/ryWtN - Can't wait for Above and BeyoncÃ©! I wonder if I can get it. :/ There's the VIDEO side too! ,1
"I changed my mind Sylar's not my favorite, Hiro is. ",1
Another loser: Lost the game. 2-1  Almost there. Needs More practice. http://tinyurl.com/lrksum,0
WHAT DOES A PANIC ATTACK FEEL LIKE?IM SOO SCARED ,0
"oh noes, vacation almost over ",0
@Tal_and_Aviad it there any chance to hear this song http://bit.ly/aoyD3 some day at the boker show ?  great show,1
"So, bad news... My straightener broke. ",0
"@wirah JEALOUS. tell me how it goes! also, kill your sister ",0
There are no more nice books anymore!! Intro me something ,1
I want some new songs. ,0
@warrenaissance that was the first time I have ever turne on twitter and saw an Otis Redding quote... good job LoL ,1
"@slickta Ha! I know! AND it's late FML... yeah, I actually do some ads online for Virgin America  Out in Boston? Done and DONE! ",1
@Luphinus Apparently not. ,0
"@blackwhiteworld we the kings, haha they are my facee ",1
@attwn That's my favorite song!! ,1
"@Gregamos I bought Flight Control and it's brilliant, so recommend that! ",1
"my MD is a butcher  I still can't wear high heels N no way I can go running, boohooo. Need some healing powers...",0
got extremly wet today! so that is summer gone then ,0
@epiphanygirl so the birmingham show is sold out...  I didn't even get my ticket yet... that was going to be my birthday present to myself,0
i don't understand twitter ,0
"@elimo Nice, congrats! Gonna try my luck today. Stupid Rogers systems. ",0
C: Is freezing in a computer lab...with no metal ,0
@MeshMeshEre  Heyyarrr x Im Gudd Thanks  x Absolutely Nothing Lool Youu ?? x,1
@oliviamunn Had fun talking to you again in the v.a today. ,1
In line for the simpsons ride. More cute foreign boys ,1
"EL LONDRES tomorrow, having withdrawal symptoms from the besties though   Tuesday shall fix that - for now, music eases academic pain.....",0
Someone's singing Tuljak in the Institute. Fun times! ,1
I planned to do alot of things this summer. But so far it has been a complete waste! Need more $ to do more things ,0
"Goodmorning guyzz Today a sunny day again, i really like these days ",1
@Its_Claire shit LOL LOL shoulder biters LOL never hurd that 1  I think your my soul mate ;-) xxx,1
Watched Max Payne. More like Max Lame.  #fb,0
@tree_hugger Aww lovely. Have you seen &quot;Death at a Funeral&quot; yet? ,1
diagon alley. woootz.  harry potter is awesome!!!! @harrypotter haha jokes!!,1
@leelandofficial wish i could...but unfortunately i live in brazil ,0
This girl is really lame. Who doesnt sign out their account on their nosy cousins phone.. i mean seriously! ,1
"@remcognr - by mail, they won't respond to my emails to deliver it and I can't get it digitally, i dont know what else I can do! ",0
@Brantanamo Congrats on all your new followers. Wasn't it in the 200's only several hours ago?? ,1
"yardsale, bojangles biscuits, downtown live tonight, and this stupid grin on my face ",1
@CheesyCaro urgh lucky! our last day is wednesday :/ but at least we only have 3 days left ,1
"@vladalexa I have a Palm now. I would like an HTC HD, but it costs 3 times more than my phone ",0
@ShawnaYourMom is one of the best friends I can have!!!!! I wanna come home to Texas ,0
Gotta love a late night booking!  Working with @laurelmcconnell on this one! Yay!!,1
@Bighoodboss yeah i'm coooool some punks broke into my apt  still kinda stressed bout that but it's gonna be ok,0
its play time ,1
@FullHdReady Okay chef!  #dandco,1
just got my hair done it looks so cool ! ,1
Hate u @Natty_Bea oh how I wish we had crack n the box here ,0
"@BriezeeLee brie, i can't seem to upload a picture, heeeeelp me  it's saying the pic is to big, when it most definitely is not.",1
managed to go town on tues and not buy a starbucks or anything from primark majorly skint ,0
i want a blackberry... tomorrow library day... again ,0
"@iamjonathancook i admire your desires for buying &quot;cop car&quot; but why? &amp; DONT MOVE TO LA  STAY IN TEXAS, its rad down there. LA is far!!",0
@viviannvicious You're so skinny and that's why you're always cold. ,0
@proudmonkey75 Mornin' Monkey! Sorry you didn't sleep well last night ,0
@MissMiMiLiCioUs im so sorry boo! i thought i did DM it too you  my bad! im on it right now lol luv u!!!,0
http://twitpic.com/7i7zu - @mrsfawnjonas @inseperable @grabowsky and other friends with KSM! ,1
"It's so weird to talk w/friends about what we're doing after this year. It's like, &quot;Uhm, Hai, I canz be five agin?&quot; ",0
was attacked by ants so admitted defeat n is now itching cos it feels like they on her ,0
@heatherlu congrats! ,1
@slutmuffins haha but it's fun ,1
@PaulLomax *headdesk* Was looking forward to using that later ,0
Things mess up.. and sort so quickly... I love the strenth of my relationship ,1
has dust allergies. this sucks BIG TIME! ,0
Up holding Rae. She just threw up all over me &amp; has an underarm fever of 103.8!  Please pray for my sweet girl!,0
"My goodness, it's freezing down here !!!!! ",0
"Loz got stick insects for his birthday..we have named them Optimus Prime, Hot Rod, Bumblebee, Megatron, Grimlock and Sticky ",1
McD to the rescue.. Bubbye seafood hikss ,0
"I'm headed back to the office today, just in time for the entire crew minus myself to skip town for Sasquatch. ",0
@MrTeagan looking forward to seeing u next sat  ,1
i think i have a fever ,0
every office should have a linebacker  http://tinyurl.com/cl4ke2,1
There was a sign that says there's a brush fire 30 miles ahead and to expect a 1 hour delay  and I was making such good time,0
@BriZDuzIt haha and I wuld just hide...so @n0rmajean would probably be no more..she's to 'curious' lol poor norma ,0
@ddlovato And this is my last weekend before school tomorrow.. ,0
clarification: when I used the word &quot;bump&quot; in a tweet the other day I was referring to playing music loudly with the bass up  ,1
 I don't have any decent looking ones at all. I don't want to wear mine and look like a big dork,0
I missed shane.  nite,0
I wish 24 and heroes were going to be on tv tonight....   I'll have to watch my frost nixon dvd and watch my SO play xbox or ps3 all night,0
@tjoenit same with me ,0
 I was helping mommy clean and we found clothes we bought for daddy that he never got to wear.,0
@NeNe96 happy bday to her  and happy mothers' day too,1
@DonnieWahlberg Glad that love runs you  Thats so awesome!!Have a good day!!,1
http://twitpic.com/6itni - Mee and bj asleep yesterdayy. My daddyy thought we looked cute  i look like i am strangling himm :|,1
@DonnieWahlberg I'm still hoping for you guys to come to Denmark. I love the new album. ,1
"Just got a reminder that my furlough is ths week, but I'm already sitting on the beach. ",1
missn my family like crazy right now ,0
My life is a rollercoaster and ride is making me  throw up ,0
@VickyBostan i cant get a pic  all my pix are too big ,0
"@bjornhagstrom Wow, nostalgia kicking in. I must watch Wargames soon again... Matthew Broderick FTW! ",1
"@TONYTANGO They came and cleared it for us straight away so it was ok, no free bubbly though  haha",0
"@bmoyle oh, I agree with you on that one, whole-heartesly ",1
"sitting in the garden, preparing my mini laptop for a holiday in Portugal ",1
@Brandon_E  they don't....not to ruin your #incubusday or anything.,0
just got married to Gemma...yaaaaaayy  where are our wedding presents? LOOLL...do not leave us alone with sugar LOL,1
This morning's bus journey was sponsored by @mightymur's Heaven season 5: WAR ,1
@reatlas  Clean Me!,0
"@gr8singer nope, sorry. i have a TON of homework. most probably, i'll be there friday. woooooh. i miss RX! ",0
@michael_1010 lol i know ,1
I want a Sobe  Self esteem went down by about 72% today and I want a hug from a friend who's graduating soon and has been unavailable,0
@truantrebellion Yeah I said you recommended him ,1
@Sunshinemeg Level 2 is a lil easier. I took yesterday off. Even Guss's need a day off now&amp;then. Will Shred tonight  Do u Shred in the AM?,1
@KLEPTOBISMAL  WOW! ditched for a movie again. i see how it is ! ,0
At school in my D.T. LESSON SAT NEXT TO MII MATE CHARLOTTE BATES... ,1
@HagarLoveMcFly i know but im soo sad ,0
@Wale Got Damn You!!! haha! You know you seen us in the corner and you didn't let my team get the interview!!!Great show tho ,0
"@SlutMuffin aww dude  sorry to hear that , she on your display pic?",0
@BCbrews I get that all the time at the store. I had a girl who phoned head office once... I was just explaining how her beer was made ,0
"@NateALO Hope you had a great weekend, congratulations! ",1
my tonguey hurts ,0
Hmm what doo i love rightt now? MYSICKASSLIFEEE ,1
sickkkk  and i'm going to be at north star today. boooo.,0
I need to put my brain to bed. I've been so unproductive today ,0
"@kellyjelly_bean ah that reminds me, i missed half of it today  poo",0
"@guttertec Yeah, but feed them properly first ....  I'm somewhat quick sometimes. #reboot11 In general: Give them a voice and respect.",0
"Back in humid Hawaii, ready to get back to business. By getting back to business I mean go on another vacation. ",0
"ako mismo dog tag.  ,By July, dog tags will be made available in our partner distribution outlets nationwide for P40",1
http://twitpic.com/6brmq - Sunbathing - definitely the thing to do today ,1
@jarreauman I did leave the library. I'm using my PSP now. It's actually working well for once! LOL ,1
@drops_of_dmb Good morning ,1
i start my new job tomorrow...i'm excited ,1
says he misses his baby boo  http://plurk.com/p/xmz5z,0
"ä»²æä¸èª²adverse possessionï¼?ä½ä¹å?çco-own, leasehold, license, proprietary estoppel å?ç¡ä¹å?°è±¡â¦ åâ¦ ç?å®å?ç?ï¼ç?å®å?ç?ï¼ç?å®å?ç?â¦ ",0
ughhhhhhhhhh can't wait for when the weekend  yey San Francisco! =],1
"movin' in 2 weeks, goin' through clothes ",0
@pwincess_sarah sarahhhh!!!!! like tadi kelly said u went online and she was about to say hi.. but then u went off  aaaaaah :'((( imyy!,0
Ahhh i love Perez Hilton ,1
@aadityanarvekar  I started on Friday man! did you see Roger!!!! I am sooooooooo happy!,1
softball in an hour!!! woot! miss my team terribly. ,0
going to work soon. ,1
I miss my baby ,0
@stuartevan I wish I was in Paris ,0
@cutesyme all of ireland is the rainiest county hahahaha.... yeah yur right it will be gone but back for friday me thinks ,1
-- Kill me.I want to die. Put a bullet in my heeeeaaaad.  Ten points if you can name the movie...  .... i miss my cell. ,0
Listening to @mileycyrus 's The Climb for the 37th time  you rock Miley Love yaaaa!!!,1
train to London from Swansea. Since when has weekend upgrades cost 20 quid?! I'm sure I only paid a tenner few weeks ago ,0
@michaelpokocky ohh thts wonderful  its really nice 2 connect with people who r intuitively blessed...I am soo grateful 2 u pal ,1
Another quality F1 race ,1
I cannot believe I slept all freakin' day! I totally want to go see &quot;The Proposal&quot; tomorrow ,0
needs to lose weight - stupid knee injury ,0
@anelisxo see i told you ,1
Heading to meet @recreate for coffee. Random guy at gas station rolled down his window to tell me I'm cute. It's 65 degrees.  Good day. ,1
mm..new washing powder smells soo good. ,1
the hunt is on..for a place to move...  ,0
"@HeyErnie just after send you my request for an invite, got a msg from @playspymaster with a bit.ly link, which is down   #crying",0
Blink 182 next Tuesday!  omg I can't wait! X] @JDBeatdown thanks!,1
It rained in delhi last night.. and morning was breezy  not hot &amp; humid as always ... Good old days are back ,1
@LLvina actually nothing! lol we just ate lunch there but i really had my eyes on this gorgeous sunglasses but my mum won't let me get it ,0
at listeninq to meeh iPod;; wat a boring nd rainy day it was!! ,0
@DisneyDean LOL! Yeah I think ur right! Its probably one of my favorites now! Thanks for talking me into it! ,1
that party was insaannnee ,1
just landed in sac. had a great weekend but very sad we couldn't go to SLC with the rest of the gang. ,0
@stephenjerzak you're the snow of my winter. the leaves of my fall. the flowers of my spring. the moon of my night. ,1
Really tired. Going to prepare for bed. G'night! ,1
@division6 its a breeze! but be conservative with clicks on the hazard awareness! too many clicks and you clearly won't be able to drive ,1
Most probably am going to spend my free day off school inside seeing as it's a dull dull day (weather wise) ,0
@LeahMOB I need to cop the MOB x KAWS bathing suit for my birthday beach day. helpp meeeeee ,0
@nikski i have so much footage like what he was talking about from when i was studying and pretty much a tomato freak - never used it ,0
Arrived at home and still unwell ,0
@Piewacket1 aw thanks  can't wait! See you soon x,1
@RobbyHenderson Annnd You have to get over here b/4 summer is over! Or I'll visit  !!!,1
is bored cleaned all day ,0
@tafygurl  no she hasnt and today is 9 weeks. So I have been watching her all day and tomorrow we wont be home  shes been pacing all day,0
oh yeah lor!  will tell ya when i am going.. off... home!!,1
"Advice from @betsyweber... &quot;if you're gonna grab it, then grab it&quot;. ",1
"Come visit our JEWELRY department! All moms businesses and blogs, all the time!  http://www.mommadethat.com/search/label/JEWELRY",1
blackberry is sick ,0
Happy #FollowFriday ! Check out these tweeps: @marismith @carriekerpen @davekerpen @tylerlecompte @staceymonk @mvellandi @budtrap ,1
I been gone for a while i know u all missed me.  thinking as jada n styles p said &quot;so called tuff guys are just herbs with aggression&quot;,1
@KGMB9 hey is sunny (da dog) on Twitter? Can you twitpic sunny when u have a chance ,1
"@tommcfly I just finished watching the radio active DVD, it was amazing! you guys definitly need to come to Canada! ",1
"@ameriicaa Laura, i love you &amp; i miss you so muuccch &lt;3 ",0
"Sakit menjurus ke demam berdarahh teman2kuu, di RSPC. Thank you doanya yaa! Doain gue ga lama2 di rmh sakitnya yaa ",1
The most obsessive tweeter I follow is Newt Gingrich ,1
http://twitpic.com/6sths - watching HEAD CASE ,1
"is trying to add new songs to my iPod, BUT my computer is being such a hassle. ",0
@kymherbert Hmm it no be compatible with b3.54  be loooking at home,0
1:01am ; my pumpkin &lt;333 just left me  . Waitin for him to get home &amp; call me . Niteee !,0
"@NoUsInLust   Om nom noms. Im gunna go make some noodles soon, cos I don't liek what mum cooked. ",0
Gathering up my signs and flyers and going to do an Open House for one of my listings.  Too bad it's raining. . . ,0
"just got home in bed, but no phonecall from begee. uh oh, im kinda worried! ",0
@chalenejohnson I'm sorry  I will miss your updates! At least we have twitter!,0
@theuedimaster I wouldn't miss it. ,1
@skiterskiterio I have ALWAYS been a sex symbol. My hair doesn't matter ,1
"Hi all,been offline due to my little dog being very ill.hopefully he is on the mend now,poor fella has had a lot of pain ",0
"Uhm, this TweetDeck update, there's no more tiny icon on my taskbar? ",0
@apricotbaby   Awww...thank you.  ,1
putting the rice cakes down...after 30 minutes of eating them.they prob are not good for you if you almost eat the whole bag. ,0
"@MrDoddle This was about an hour later, he was wearing a track suit with his socks on the outside... pretty certain... ",1
@grum Groundhog Day .. 10 points for me ,1
@_rohit salle jo twitter pe hai bhi nahin ... uski uda rahe ho ... kuch to ethics rakho ,1
"@rolliev2 yeah. you should've texted me or something to remind me that you were coming back. i would've stayed longer, but i forgot you ",0
"@motionocean oh, hehe it's sunny here today  scottish dances?? awesome ",1
I'm sorry guys no K.B &amp; L.Jmatch up this year ,0
desayunink time. ,1
@FamousPigeon agreed! Especially when you can't afford to eat regularly. And sucks when you get low bloodsgr and sweat from no food ,0
Being a catholic hurts. Ow my knees. ,0
heading to the @iSchoolAtDrexel senior design challenge w/ @schenkin ,1
@aj_wood say hey to my hubby @Spamboy. Know when the next psd photo retouch webinar is? I had to miss the last one ,0
wish you were here ,0
"@HanaStephenson i think you should it will be awesome! Im watching charmed, - as always  Loveyou xx",1
@ohhhbeka PS: Wish I were coming tonight. ,0
"@kadoerina I do but I'm sure, you will make it, smartypants ",1
wondering how the other side of the world lives w/o hulu... there are a lot of links from hulu i like to post here  Any1 use proxies?,0
"@Marcia77 I JUST FOLLOWED HER , THANKS ",1
has a headache! ,0
mum aksed me if i was drunk  i told her no though,0
Well its complicated @TheSmokingPen my team #Blues is out and I have more AGAINST the #redwings tho I love redwing fans. So gooo #PENS ,1
"@katyperry  Santa Barbara may hold your heart, but  somewhere somehow southern blood flows through your veins. ",1
@juliamartin8 studying too much can do that to ya ,1
finally found something worth being happy for  too bad its 2100 miles away..,1
@selenagomez im ssrryy! thats so not fun ,0
@fatimahazzahra aww. that's okay!  guys who weigh 48 KG are kurus! :S i bet i WAS 48 KG. gotta hit the gym! |:,0
HA! I did it. Awesome. I'm gonna use that when in Europe. ,1
@shaykins yea perimeter is about 3 mins away but the stores change WAY TOO MUCH. They closed Spencers ,0
"@missfrederica AS IF THAT WILL HAPPEN AGAIN! ))) His big concern now is mother. Too scared. Anyway, YES. I MISS THOSE DAYS. ",0
@she_shines92 Why are you in a bad mood?    Just not having a good day?  ,0
@Jimmyfallon EVERYONE should lounge by the pool with a 6-pack of Bud Light &amp; a Subway sandwich! Preferably The CLUB!  SCarolina in da houz,1
Twitter is like a baby chihuahua.......it needs constant attention!!  ,1
@steveames  #Elmore  Does anyone really track &quot;Elmore?&quot; ,1
"God the coffee out of vending machines is lovely NOT, on my way back to Poole and then sunny Bournemouth ",1
today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!,1
@twit_julie I've always wanted to go there  Have fun!,0
"@XXXdestinyday okie doke boo, im sure u would never forget it!, my treat ",1
"@BrentSpiner BTW, please stop by and bring me a signed pic of you as Fenway. Thanks! ",1
@ashmec84 yep broccoli was his calling card ,1
@Trucco905 hahaha!!  you're so right!,1
anyone want to give away a copy of The Sims 3? I really want it but cant afford it ,0
@lacietee i have to work ,0
"@MyNumberIs911 np, I didn't watch any movie cus I was so tired haha. thanks! where do you work? ",1
"@Vixster25 Yeah I'm good thanks hun. Whoo-hoo to a London summit, though I don't think I can make it. ",0
on the train con mi papa on the way 2  the NRA! Cant wait 2 eat!  gotta find them Hawaiian  Icecreams! LoL,1
Relaxing in the hotel. Without a phone for the weekend  Apparently sidekicks dont work in the U.P.??? What am I gonna do??,0
